Locality/District/Region,2010 Population,Chlamydia Trachomatis Infection Reported Cases,"Chlamydia Trachomatis Infection Rate per 100,000",Escherichia coli Infection (Shiga Toxin-Producing) Reported Cases,"Escherichia coli Infection (Shiga Toxin-Producing) Rate per 100,000",Giardiasis Reported Cases,"Giardiasis Rate per 100,000"
Virginia Total,8001024,36317,453.9,123,1.5,290,3.6
Alexandria,"139,966",561,400.8,4,2.9,13,9.3
Bristol,"17,835",67,375.7,0,0,0,0
Buena Vista,"6,650",22,330.8,0,0,0,0
Chesapeake,"222,209",1381,621.5,1,0.5,6,2.7
Colonial Heights,"17,411",74,425,0,0,1,5.7
Danville,"43,055",479,1112.5,0,0,7,16.3
Franklin City,"8,582",110,1281.8,0,0,0,0
Fredericksburg,"24,286",229,942.9,0,0,0,0
Galax,"7,042",16,227.2,0,0,0,0
Hampton,"137,436",1547,1125.6,0,0,0,0
Hopewell,"22,591",197,872,0,0,2,8.9
Lynchburg,"75,568",434,574.3,0,0,2,2.6
Newport News,"180,719",2021,1118.3,1,0.6,10,5.5
Norfolk,"242,803",3298,1358.3,1,0.4,8,3.3
Petersburg,"32,420",599,1847.6,1,3.1,1,3.1
Portsmouth,"95,535",1196,1251.9,1,1,0,0
Radford,"16,408",109,664.3,0,0,0,0
Richmond City,"204,214",2791,1366.7,3,1.5,4,2
Roanoke City,"97,032",961,990.4,0,0,7,7.2
Salem,"24,802",84,338.7,0,0,4,16.1
Suffolk,"84,585",729,861.9,0,0,3,3.5
Virginia Beach,"437,994",2622,598.6,4,0.9,16,3.7
Waynesboro,"21,006",79,376.1,2,9.5,1,4.8
Williamsburg,"14,068",152,1080.5,0,0,4,28.4
