Locality/District/Region,2010 Population,Influenza Reported Cases,"Influenza Rate per 100,000",Lead-Elevated Blood Levels in Children Age 0-15 years* Reported Cases,"Lead-Elevated Blood Levels in Children Age 0-15 years* Rate per 100,000",Legionellosis Reported Cases,"Legionellosis Rate per 100,000"
Virginia Total,8001024,18153,226.9,274,16.7,93,1.2
Alexandria,"139,966",118,84.3,2,9.2,1,0.7
Bristol,"17,835",1,5.6,0,0,1,5.6
Buena Vista,"6,650",0,0,0,0,0,0
Chesapeake,"222,209",331,149,3,6,2,0.9
Colonial Heights,"17,411",0,0,2,58.5,1,5.7
Danville,"43,055",559,1298.3,12,146.4,1,2.3
Franklin City,"8,582",29,337.9,1,55.2,0,0
Fredericksburg,"24,286",182,749.4,4,92.6,0,0
Galax,"7,042",448,6361.8,0,0,0,0
Hampton,"137,436",293,213.2,4,14.5,0,0
Hopewell,"22,591",0,0,0,0,0,0
Lynchburg,"75,568",1215,1607.8,6,45.8,0,0
Newport News,"180,719",1523,842.7,9,23.1,3,1.7
Norfolk,"242,803",0,0,14,30.9,1,0.4
Petersburg,"32,420",2069,6381.9,6,101.6,1,3.1
Portsmouth,"95,535",0,0,9,44.6,2,2.1
Radford,"16,408",63,384,0,0,0,0
Richmond City,"204,214",254,124.4,45,132.1,5,2.4
Roanoke City,"97,032",208,214.4,6,31.8,2,2.1
Salem,"24,802",147,592.7,1,23.3,0,0
Suffolk,"84,585",0,0,5,25.6,0,0
Virginia Beach,"437,994",207,47.3,2,2.2,1,0.2
Waynesboro,"21,006",3,14.3,2,45.6,2,9.5
Williamsburg,"14,068",0,0,0,0,0,0
