Locality/District/Region,2010 Population,Gonorrhea Reported Cases,"Gonorrhea Rate per 100,000",H. influenzae Infecton (Invasive) Reported Cases,"H. influenzae Infecton (Invasive) Rate per 100,000",Hepatitis A Reported Cases,"Hepatitis A Rate per 100,000"
Virginia Total,8001024,6521,81.5,108,1.3,30,0.4
Alexandria,"139,966",80,57.2,1,0.7,2,1.4
Bristol,"17,835",10,56.1,1,5.6,0,0
Buena Vista,"6,650",2,30.1,0,0,0,0
Chesapeake,"222,209",307,138.2,6,2.7,1,0.5
Colonial Heights,"17,411",15,86.2,0,0,0,0
Danville,"43,055",123,285.7,1,2.3,0,0
Franklin City,"8,582",21,244.7,0,0,0,0
Fredericksburg,"24,286",26,107.1,0,0,0,0
Galax,"7,042",0,0,0,0,0,0
Hampton,"137,436",343,249.6,3,2.2,0,0
Hopewell,"22,591",57,252.3,0,0,0,0
Lynchburg,"75,568",140,185.3,1,1.3,1,1.3
Newport News,"180,719",438,242.4,5,2.8,0,0
Norfolk,"242,803",733,301.9,0,0,1,0.4
Petersburg,"32,420",177,546,0,0,0,0
Portsmouth,"95,535",288,301.5,2,2.1,0,0
Radford,"16,408",2,12.2,0,0,0,0
Richmond City,"204,214",615,301.2,4,2,0,0
Roanoke City,"97,032",256,263.8,3,3.1,0,0
Salem,"24,802",16,64.5,2,8.1,0,0
Suffolk,"84,585",138,163.1,2,2.4,0,0
Virginia Beach,"437,994",410,93.6,7,1.6,1,0.2
Waynesboro,"21,006",16,76.2,0,0,0,0
Williamsburg,"14,068",33,234.6,1,7.1,0,0
