Locality/District/Region,2010 Population,Syphillis (Early) Reported Cases,"Syphillis (Early) Rate per 100,000",Tuberculosis Reported Cases,"Tuberculosis Rate per 100,000"
Virginia Total,8001024,502,6.3,221,2.8
Accomack County,"33,164",0,0,1,3
"Albemarle Co., Charlottesville","142,445",7,4.9,3,2.1
"Alleghany Co, Clifton Forge, Covington","22,211",0,0,0,0
Amelia County,"12,690",0,0,0,0
Amherst County,"32,353",0,0,0,0
Appomattox County,"14,973",1,6.7,0,0
Arlington County,"207,627",34,16.4,9,4.3
"Augusta Co., Staunton","97,496",0,0,0,0
Bath County,"4,731",0,0,0,0
Bedford County and City,"74,898",0,0,0,0
Bland County,"6,824",0,0,0,0
Botetourt County,"33,148",2,6,1,3
Brunswick County,"17,434",0,0,0,0
Buchanan County,"24,098",1,4.1,2,8.3
Buckingham County,"17,146",0,0,0,0
Campbell County,"54,842",1,1.8,0,0
Caroline County,"28,545",0,0,0,0
Carroll County,"30,042",0,0,0,0
Charles City County,"7,256",0,0,0,0
Charlotte County,"12,586",0,0,0,0
Chesterfield County,"316,236",18,5.7,3,0.9
Clarke County,"14,034",0,0,1,7.1
Craig County,"5,190",0,0,0,0
Culpeper County,"46,689",1,2.1,0,0
Cumberland County,"10,052",0,0,0,0
Dickenson County,"15,903",0,0,1,6.3
Dinwiddie County,"28,001",0,0,0,0
Essex County,"11,151",1,9,0,0
Fairfax Co./City/Falls Church,"1,116,623",22,2,82,7.3
Fauquier County,"65,203",0,0,0,0
Floyd County,"15,279",0,0,0,0
Fluvanna County,"25,691",2,7.8,2,7.8
Franklin County,"56,159",0,0,0,0
"Frederick Co., Winchester","104,508",1,1,0,0
Giles County,"17,286",0,0,0,0
Gloucester County,"36,858",1,2.7,0,0
Goochland County,"21,717",0,0,0,0
Grayson County,"15,533",1,6.4,0,0
Greene County,"18,403",0,0,0,0
"Greensville Co., Emporia","18,170",1,5.5,0,0
Halifax County,"36,241",1,2.8,0,0
Hanover County,"99,863",3,3,0,0
Henrico County,"306,935",20,6.5,12,3.9
"Henry Co., Martinsville","67,972",3,4.4,0,0
Highland County,"2,321",0,0,0,0
Isle of Wight County,"35,270",0,0,0,0
James City County,"67,009",0,0,0,0
King and Queen County,"6,945",0,0,0,0
King George County,"23,584",1,4.2,1,4.2
King William County,"15,935",0,0,1,6.3
Lancaster County,"11,391",2,17.6,0,0
Lee County,"25,587",0,0,0,0
Loudoun County,"312,311",3,1,12,3.8
Louisa County,"33,153",3,9,1,3
Lunenburg County,"12,914",0,0,0,0
Madison County,"13,308",0,0,0,0
Mathews County,"8,978",0,0,0,0
Mecklenburg County,"32,727",1,3.1,0,0
Middlesex County,"10,959",1,9.1,0,0
Montgomery County,"94,392",4,4.2,2,2.1
Nelson County,"15,020",0,0,0,0
New Kent County,"18,429",0,0,0,0
Northampton County,"12,389",1,8.1,0,0
Northumberland County,"12,330",1,8.1,1,8.1
Nottoway County,"15,853",1,6.3,0,0
Orange County,"33,481",0,0,0,0
Page County,"24,042",1,4.2,0,0
Patrick County,"18,490",1,5.4,0,0
Pittsylvania County,"63,506",2,3.1,1,1.6
Powhatan County,"28,046",0,0,0,0
Prince Edward County,"23,368",2,8.6,0,0
Prince George County,"35,725",2,5.6,0,0
Pr. William Co./Manassas/M. Park,"454,096",14,3.1,21,4.6
Pulaski County,"34,872",1,2.9,1,2.9
Rappahannock County,"7,373",0,0,0,0
Richmond County,"9,254",1,10.8,0,0
Roanoke County,"92,376",4,4.3,2,2.2
"Rockbridge Co., Lexington","29,349",1,3.4,0,0
"Rockingham Co., Harrisonburg","125,228",4,3.2,3,2.4
Russell County,"28,897",0,0,0,0
Scott County,"23,177",0,0,1,4.3
Shenandoah County,"41,993",0,0,0,0
Smyth County,"32,208",1,3.1,0,0
Southampton County,"18,570",0,0,2,10.8
Spotsylvania County,"122,397",10,8.2,0,0
Stafford County,"128,961",4,3.1,3,2.3
Surry County,"7,058",0,0,0,0
Sussex County,"12,087",0,0,0,0
Tazewell County,"45,078",1,2.2,0,0
Warren County,"37,575",0,0,0,0
Washington County,"54,876",2,3.6,0,0
Westmoreland County,"17,454",1,5.7,0,0
"Wise Co., Norton45,410",1,2.2,1,2.2,
Wythe County,"29,235",1,3.4,0,0
"York Co., Poquoson","77,614",2,2.6,1,1.3
