Locality/District/Region,2010 Population,Hepatitis B (Acute) Reported Cases,"Hepatitis B (Acute) Rate per 100,000",Hepatitis C (Acute)Reported Cases,"Hepatitis C (Acute)Rate per 100,000",HIV Disease* Reported Cases,"HIV Disease* Rate per 100,000"
Virginia Total,8001024,84,1,25,0.3,1085,13.6
Alexandria,"139,966",1,0.7,0,0,52,37.2
Bristol,"17,835",0,0,1,5.6,0,0
Buena Vista,"6,650",0,0,0,0,0,0
Chesapeake,"222,209",4,1.8,0,0,33,14.9
Colonial Heights,"17,411",0,0,0,0,2,11.5
Danville,"43,055",1,2.3,0,0,9,20.9
Franklin City,"8,582",1,11.7,0,0,0,0
Fredericksburg,"24,286",0,0,1,4.1,2,8.2
Galax,"7,042",0,0,0,0,0,0
Hampton,"137,436",2,1.5,0,0,30,21.8
Hopewell,"22,591",0,0,0,0,2,8.9
Lynchburg,"75,568",1,1.3,0,0,5,6.6
Newport News,"180,719",1,0.6,0,0,49,27.1
Norfolk,"242,803",0,0,1,0.4,102,42
Petersburg,"32,420",0,0,0,0,12,37
Portsmouth,"95,535",3,3.1,0,0,25,26.2
Radford,"16,408",2,12.2,0,0,1,6.1
Richmond City,"204,214",12,5.9,1,0.5,110,53.9
Roanoke City,"97,032",0,0,0,0,13,13.4
Salem,"24,802",0,0,0,0,2,8.1
Suffolk,"84,585",0,0,0,0,17,20.1
Virginia Beach,"437,994",1,0.2,0,0,67,15.3
Waynesboro,"21,00",0,0,0,0,2,9.5
Williamsburg,"14,068",0,0,0,0,1,7.1
