Locality/District/Region,2010 Population,Listeriosis Reported Cases,"Listeriosis Rate per 100,000",Lyme Disease Reported Cases,"Lyme Disease Rate per 100,000",Malaria Reported Cases,"Malaria Rate per 100,000"
Virginia Total,8001024,15,0.2,1023,12.8,78,1
Alexandria,"139,966",1,0.7,4,2.9,7,5
Bristol,"17,835",0,0,0,0,0,0
Buena Vista,"6,650",1,15,0,0,0,0
Chesapeake,"222,209",0,0,2,0.9,1,0.5
Colonial Heights,"17,411",0,0,0,0,0,0
Danville,"43,055",0,0,3,7,0,0
Franklin City,"8,582",0,0,0,0,1,11.7
Fredericksburg,"24,286",0,0,1,4.1,1,4.1
Galax,"7,042",0,0,0,0,0,0
Hampton,"137,436",1,0.7,2,1.5,0,0
Hopewell,"22,591",0,0,2,8.9,0,0
Lynchburg,"75,568",0,0,36,47.6,1,1.3
Newport News,"180,719",0,0,3,1.7,1,0.6
Norfolk,"242,803",1,0.4,2,0.8,0,0
Petersburg,"32,420",0,0,0,0,0,0
Portsmouth,"95,535",0,0,0,0,0,0
Radford,"16,408",0,0,1,6.1,0,0
Richmond City,"204,214",0,0,2,1,2,1
Roanoke City,"97,032",0,0,5,5.2,0,0
Salem,"24,802",0,0,2,8.1,0,0
Suffolk,"84,585",1,1.2,0,0,0,0
Virginia Beach,"437,994",1,0.2,4,0.9,5,1.1
Waynesboro,"21,006",0,0,3,14.3,0,0
Williamsburg,"14,068",0,0,4,28.4,0,0
