Locality/District/Region,2010 Population,Hepatitis B (Acute) Reported Cases,"Hepatitis B (Acute) Rate per 100,000",Hepatitis C (Acute)Reported Cases,"Hepatitis C (Acute)Rate per 100,000",HIV Disease* Reported Cases,"HIV Disease* Rate per 100,000"
Virginia Total,8001024,84,1,25,0.3,1085,13.6
Accomack County,"33,164",1,3,0,0,4,12.1
"Albemarle Co., Charlottesville","142,445",1,0.7,0,0,10,7
"Alleghany Co., Clifton Forge, Covington","22,211",0,0,0,0,0,0
Amelia County,"12,690",0,0,0,0,1,7.9
Amherst County,"32,353",0,0,0,0,2,6.2
Appomattox County,"14,973",0,0,0,0,4,26.7
Arlington County,"207,627",0,0,0,0,45,21.7
"Augusta Co., Staunton","97,496",1,1,1,1,0,0
Bath County,"4,731",0,0,0,0,0,0
Bedford County and City,"74,898",0,0,0,0,7,9.3
Bland County,"6,824",0,0,0,0,0,0
Botetourt County,"33,148",0,0,0,0,0,0
Brunswick County,"17,434",0,0,0,0,4,22.9
Buchanan County,"24,098",1,4.1,0,0,0,0
Buckingham County,"17,146",0,0,0,2,,11.7
Campbell County,"54,842",0,0,0,0,3,5.5
Caroline County,"28,545",0,0,0,0,4,14
Carroll County,"30,042",0,0,0,0,0,0
Charles City County,"7,256",0,0,1,13.8,1,13.8
Charlotte County,"12,586",0,0,0,0,0,0
Chesterfield County,"316,236",4,1.3,0,0,39,12.3
Clarke County,"14,034",0,0,0,0,0,0
Craig County,"5,190",0,0,0,0,0,0
Culpeper County,"46,689",1,2.1,0,0,4,8.6
Cumberland County,"10,052",0,0,0,0,0,0
Dickenson County,"15,903",0,0,0,0,0,0
Dinwiddie County,"28,001",0,0,0,0,1,3.6
Essex County,"11,151",0,0,0,0,1,9
Fairfax Co./City/Falls Church,"1,116,623",4,0.4,1,0.1,139,12.4
Fauquier County,"65,203",2,3.1,0,0,5,7.7
Floyd County,"15,279",0,0,0,0,1,6.5
Fluvanna County,"25,691",0,0,0,0,1,3.9
Franklin County,"56,159",0,0,0,0,6,10.7
"Frederick Co., Winchester","104,508",1,1,2,1.9,11,10.5
Giles County,"17,286",1,5.8,0,0,0,0
Gloucester County,"36,858",0,0,0,0,1,2.7
Goochland County,"21,717",0,0,0,0,4,18.4
Grayson County,"15,533",0,0,0,0,0,0
Greene County,"18,403",0,0,0,0,1,5.4
"Greensville Co., Emporia","18,170",0,0,0,0,6,33
Halifax County,"36,241",0,0,0,0,1,2.8
Hanover County,"99,863",0,0,0,0,7,7
Henrico County,"306,935",11,3.6,2,0.7,48,15.6
"Henry Co., Martinsville","67,972",0,0,0,0,5,7.4
Highland County,"2,321",0,0,0,0,0,0
Isle of Wight County,"35,270",1,2.8,0,0,2,5.7
James City County,"67,009",1,1.5,0,0,9,13.4
King and Queen County,"6,945",0,0,0,0,0,0
King George County,"23,584",0,0,0,0,0,0
King William County,"15,935",0,0,0,0,3,18.8
Lancaster County,"11,391",0,0,0,0,1,8.8
Lee County,"25,587",3,11.7,0,0,0,0
Loudoun County,"312,311",2,0.6,0,0,23,7.4
Louisa County,"33,153",0,0,0,0,3,9
Lunenburg County,"12,914",0,0,0,0,2,15.5
Madison County,"13,308",0,0,0,0,0,0
Mathews County,"8,978",0,0,0,0,0,0
Mecklenburg County,"32,727",0,0,0,0,2,6.1
Middlesex County,"10,959",0,0,0,0,1,9.1
Montgomery County,"94,392",4,4.2,3,3.2,6,6.4
Nelson County,"15,020",0,0,0,0,2,13.3
New Kent County,"18,429",0,0,0,0,2,10.9
Northampton County,"12,389",1,8.1,0,0,0,0
Northumberland County,"12,330",0,0,0,0,0,0
Nottoway County,"15,853",1,6.3,0,0,2,12.6
Orange County,"33,481",0,0,0,0,0,0
Page County,"24,042",0,0,0,0,0,0
Patrick County,"18,490",0,0,0,0,2,10.8
Pittsylvania County,"63,506",0,0,0,0,6,9.4
Powhatan County,"28,046",0,0,0,0,4,14.3
Prince Edward County,"23,368",1,4.3,1,4.3,4,17.1
Prince George County,"35,725",0,0,0,0,3,8.4
Pr. William Co./Manassas/M. Park,"454,096",2,0.4,0,0,55,12.1
Pulaski County,"34,872",1,2.9,2,5.7,1,2.9
Rappahannock County,"7,373",0,0,0,0,0,0
Richmond County,"9,254",0,0,0,0,3,32.4
Roanoke County,"92,376",1,1.1,0,0,4,4.3
"Rockbridge Co., Lexington","29,349",0,0,0,0,1,3.4
"Rockingham Co., Harrisonburg","125,228",0,0,3,2.4,2,1.6
Russell County,"28,897",1,3.5,0,0,0,0
Scott County,"23,177",1,4.3,0,0,0,0
Shenandoah County,"41,993",2,4.8,0,0,2,4.8
Smyth County,"32,208",0,0,1,3.1,3,9.3
Southampton County,"18,570",0,0,0,0,1,5.4
Spotsylvania County,"122,397",0,0,1,0.8,5,4.1
Stafford County,"128,961",0,0,0,0,11,8.5
Surry County,"7,058",0,0,0,0,1,14.2
Sussex County,"12,087",0,0,0,0,3,24.8
Tazewell County,"45,078",0,0,1,2.2,2,4.4
Warren County,"37,575",0,0,0,0,1,2.7
Washington County,"54,876",2,3.6,1,1.8,3,5.5
Westmoreland County,"17,454",0,0,0,0,2,11.5
"Wise Co., Norton","45,410",1,2.2,0,0,0,0
Wythe County,"29,235",2,6.8,1,3.4,0,0
"York Co., Poquoson","77,614",0,0,0,0,4,5.2
