Locality/District/Region,2010 Population,Meningococcal Disease Reported Cases,"Meningococcal Disease Rate per 100,000",Mumps Reported Cases,"Mumps Rate per 100,000",Pertussis Reported Cases,"Pertussis Rate per 100,000"
Virginia Total,8001024,18,0.2,13,0.2,399,5
Central Shenandoah,"286,781",1,0.3,0,0,37,12.9
Lord Fairfax,"222,152",1,0.5,0,0,9,4.1
Rappahannock,"327,773",1,0.3,0,0,26,7.9
Rappahannock/Rapidan,"166,054",0,0,0,0,15,9
Thomas Jefferson,"234,712",2,0.9,0,0,30,12.8
Northwest Region,"1,237,472",5,0.4,0,0,117,9.5
Alexandria,"139,966",0,0,6,4.3,3,2.1
Arlington,"207,627",0,0,0,0,4,1.9
Fairfax,"1,116,623",2,0.2,0,0,55,4.9
Loudoun,"312,311",0,0,0,0,14,4.5
Prince William,"454,096",1,0.2,2,0.4,13,2.9
Northern Region,"2,230,623",3,0.1,8,0.4,89,4
Alleghany,"177,727",2,1.1,0,0,7,3.9
Central Virginia,"252,634",1,0.4,0,0,7,2.8
Cumberland Plateau,"113,976",0,0,0,0,3,2.6
Lenowisco,"94,174",0,0,0,0,0,0
Mount Rogers,"193,595",0,0,0,0,5,2.6
New River,"178,237",1,0.6,0,0,78,43.8
Pittsylvania/Danville,"106,561",0,0,0,0,1,0.9
Roanoke City,"97,032",0,0,0,0,3,3.1
West Piedmont,"142,621",0,0,1,0.7,5,3.5
Southwest Region,"1,356,557",4,0.3,1,0.1,109,8
Chesterfield,"361,693",0,0,0,0,14,3.9
Chickahominy,"147,265",0,0,0,0,14,9.5
Crater,"156,052",0,0,0,0,3,1.9
Henrico,"306,935",0,0,0,0,13,4.2
Piedmont,"104,609",0,0,0,0,2,1.9
Richmond City,"204,214",0,0,0,0,11,5.4
Southside,"86,402",0,0,1,1.2,1,1.2
Central Region,"1,367,170",0,0,1,0.1,58,4.2
Chesapeake,"222,209",1,0.5,0,0,5,2.3
Eastern Shore,"45,553",1,2.2,0,0,0,0
Hampton,"137,436",0,0,0,0,1,0.7
Norfolk,"242,803",0,0,1,0.4,0,0
Peninsula,"339,410",3,0.9,0,0,5,1.5
Portsmouth,"95,535",0,0,0,0,0,0
Three Rivers,"141,255",1,0.7,1,0.7,1,0.7
Virginia Beach,"437,994",0,0,1,0.2,10,2.3
Western Tidewater,"147,007",0,0,0,0,4,2.7
Eastern Region,"1,809,202",6,0.3,3,0.2,26,1.4
