Locality/District/Region,2010 Population,Syphillis (Early) Reported Cases,"Syphillis (Early) Rate per 100,000",Tuberculosis Reported Cases,"Tuberculosis Rate per 100,000"
Virginia Total,8001024,502,6.3,221,2.8
Central Shenandoah,"286,781",5,1.7,3,1
Lord Fairfax,"222,152",2,0.9,1,0.5
Rappahannock,"327,773",18,5.5,5,1.5
Rappahannock/Rapidan,"166,054",1,0.6,0,0
Thomas Jefferson,"234,712",12,5.1,6,2.6
Northwest Region,"1,237,472",38,3.1,15,1.2
Alexandria,"139,966",29,20.7,13,9.3
Arlington,"207,627",34,16.4,9,4.3
Fairfax,"1,116,623",22,2,82,7.3
Loudoun,"312,311",3,1,12,3.8
Prince William,"454,096",14,3.1,21,4.6
Northern Region,"2,230,623",102,4.6,137,6.1
Alleghany,"177,727",7,3.9,3,1.7
Central Virginia,"252,634",10,4,0,0
Cumberland Plateau,"113,976",2,1.8,3,2.6
Lenowisco,"94,174",1,1.1,2,2.1
Mount Rogers,"193,595",5,2.6,0,0
New River,"178,237",5,2.8,3,1.7
Pittsylvania/Danville,"106,561",15,14.1,1,0.9
Roanoke City,"97,032",7,7.2,3,3.1
West Piedmont,"142,621",4,2.8,0,0
Southwest Region,"1,356,557",56,4.1,15,1.1
Chesterfield,"361,693",19,5.3,4,1.1
Chickahominy,"147,265",3,2,0,0
Crater,"156,052",9,5.8,4,2.6
Henrico,"306,935",20,6.5,12,3.9
Piedmont,"104,609",3,2.9,0,0
Richmond City,"204,214",68,33.3,8,3.9
Southside,"86,402",2,2.3,0,0
Central Region,"1,367,170",124,9.1,28,2
Chesapeake,"222,209",19,8.6,1,0.5
Eastern Shore,"45,553",1,2.2,1,2.2
Hampton,"137,436",19,13.8,2,1.5
Norfolk,"242,803",48,19.8,4,1.6
Peninsula,"339,410",27,8,5,1.5
Portsmouth,"95,535",18,18.8,1,1
Three Rivers,"141,255",8,5.7,2,1.4
Virginia Beach,"437,994",36,8.2,4,0.9
Western Tidewater,"147,007",6,4.1,6,4.1
Eastern Region,"1,809,202",182,10.1,26,1.4
