Locality/District/Region,2010 Population,Rabies in Animals Reported Cases,"Rabies in Animals Disease Rate per 100,000",Salmonellosis Reported Cases,"Salmonellosis Rate per 100,000",Shigellosis Reported Cases,"Shigellosis Rate per 100,000"
Virginia Total,8001024,618,7.7,1208,15.1,107,1.3
Central Shenandoah,"286,781",42,10.7,40,13.9,1,0.3
Lord Fairfax,"222,152",27,7.4,25,11.3,5,2.3
Rappahannock,"327,773",15,3.9,54,16.5,1,0.3
Rappahannock/Rapidan,"166,054",43,3.3,18,10.8,1,0.6
Thomas Jefferson,"234,712",10,3.1,55,23.4,0,0
Northwest Region,"1,237,472",137,11.1,192,15.5,8,0.6
Alexandria,"139,966",0,2.2,26,18.6,7,5
Arlington,"207,627",4,3.1,40,19.3,4,1.9
Fairfax,"1,116,623",43,9.2,123,11,26,2.3
Loudoun,"312,311",26,3.5,35,11.2,9,2.9
Prince William,"454,096",11,3.1,62,13.7,14,3.1
Northern Region,"2,230,623",84,3.8,286,12.8,60,2.7
Alleghany,"177,727",56,1.8,27,15.2,0,0
Central Virginia,"252,634",35,7.4,55,21.8,2,0.8
Cumberland Plateau,"113,976",9,1.3,17,14.9,2,1.8
Lenowisco,"94,174",1,0.2,11,11.7,1,1.1
Mount Rogers,"193,595",40,3.5,25,12.9,0,0
New River,"178,237",43,1.7,24,13.5,0,0
Pittsylvania/Danville,"106,561",12,0.6,15,14.1,0,0
Roanoke City,"97,032",7,0.2,7,7.2,0,0
West Piedmont,"142,621",15,1.7,11,7.7,0,0
Southwest Region,"1,356,557",218,16.1,192,14.2,5,0.4
Chesterfield,"361,693",12,2.4,52,14.4,2,0.6
Chickahominy,"147,265",16,3.1,23,15.6,0,0
Crater,"156,052",8,2.6,22,14.1,2,1.3
Henrico,"306,935",12,1.7,48,15.6,5,1.6
Piedmont,"104,609",31,2.6,26,24.9,0,0
Richmond City,"204,214",2,0.2,25,12.2,3,1.5
Southside,"86,402",13,1.8,16,18.5,0,0
Central Region,"1,367,170",94,6.9,212,15.5,12,0.9
Chesapeake,"222,209",3,0.2,40,18,5,2.3
Eastern Shore,"45,553",10,5.4,29,63.7,1,2.2
Hampton,"137,436",5,0.7,12,8.7,3,2.2
Norfolk,"242,803",3,2,24,9.9,3,1.2
Peninsula,"339,410",18,2.2,73,21.5,1,0.3
Portsmouth,"95,535",2,0,10,10.5,0,0
Three Rivers,"141,255",16,5,43,30.4,0,0
Virginia Beach,"437,994",7,1.1,54,12.3,7,1.6
Western Tidewater,"147,007",21,1.1,41,27.9,2,1.4
Eastern Region,"1,809,202",85,4.7,326,18,22,1.2
