Locality/District/Region,2010 Population,Spotted Fever Rickettsiosis (including RMSF) Reported Cases,"Spotted Fever Rickettsiosis (including RMSF) Rate per 100,000",Staphyococcus aureus Infection (Invasive (MRSA)) Reported Cases,"Staphyococcus aureus Infection (Invasive (MRSA)) Rate per 100,000",Streptococcal Disease (Group A) (Invasive or TSS) Reported Cases,"Streptococcal Disease (Group A) (Invasive or TSS) Rate per 100,000"
Virginia Total,8001024,231,2.9,1304,16.3,192,2.4
Alexandria,"139,966",1,0.7,20,14.3,2,1.4
Bristol,"17,835",0,0,11,61.7,0,0
Buena Vista,"6,650",0,0,1,15,0,0
Chesapeake,"222,209",1,0.5,57,25.7,5,2.3
Colonial Heights,"17,411",1,5.7,5,28.7,0,0
Danville,"43,055",5,11.6,13,30.2,0,0
Franklin City,"8,582",0,0,4,46.6,0,0
Fredericksburg,"24,286",0,0,3,12.4,0,0
Galax,"7,042",0,0,1,14.2,0,0
Hampton,"137,436",2,1.5,31,22.6,3,2.2
Hopewell,"22,591",1,4.4,3,13.3,0,0
Lynchburg,"75,568",3,4,15,19.8,0,0
Newport News,"180,719",2,1.1,36,19.9,2,1.1
Norfolk,"242,803",4,1.6,46,18.9,9,3.7
Petersburg,"32,420",1,3.1,9,27.8,0,0
Portsmouth,"95,535",0,0,30,31.4,3,3.1
Radford,"16,408",0,0,1,6.1,0,0
Richmond City,"204,214",2,1,45,22,6,2.9
Roanoke City,"97,032",0,0,32,33,2,2.1
Salem,"24,802",0,0,13,52.4,0,0
Suffolk,"84,585",1,1.2,17,20.1,6,7.1
Virginia Beach,"437,994",2,0.5,74,16.9,19,4.3
Waynesboro,"21,006",0,0,6,28.6,2,9.5
Williamsburg,"14,068",2,14.2,17,120.8,2,14.2
