Locality/District/Region,2010 Population,Meningococcal Disease Reported Cases,"Meningococcal Disease Rate per 100,000",Mumps Reported Cases,"Mumps Rate per 100,000",Pertussis Reported Cases,"Pertussis Rate per 100,000"
Virginia Total,8001024,18,0.2,13,0.2,399,5
Alexandria,"139,966",0,0,6,4.3,3,2.1
Bristol,"17,835",0,0,0,0,1,5.6
Buena Vista,"6,650",0,0,0,0,1,15
Chesapeake,"222,209",1,0.5,0,0,5,2.3
Colonial Heights,"17,411",0,0,0,0,0,0
Danville,"43,055",0,0,0,0,1,2.3
Franklin City,"8,582",0,0,0,0,0,0
Fredericksburg,"24,286",0,0,0,0,2,8.2
Galax,"7,042",0,0,0,0,1,14.2
Hampton,"137,436",0,0,0,0,1,0.7
Hopewell,"22,591",0,0,0,0,0,0
Lynchburg,"75,568",0,0,0,0,3,4
Newport News,"180,719",2,1.1,0,0,4,2.2
Norfolk,"242,803",0,0,1,0.4,0,0
Petersburg,"32,420",0,0,0,0,1,3.1
Portsmouth,"95,535",0,0,0,0,0,0
Radford,"16,408",0,0,0,0,6,36.6
Richmond City,"204,214",0,0,0,0,11,5.4
Roanoke City,"97,032",0,0,0,0,3,3.1
Salem,"24,802",0,0,0,0,1,4
Suffolk,"84,585",0,0,0,0,4,4.7
Virginia Beach,"437,994",0,0,1,0.2,10,2.3
Waynesboro,"21,006",0,0,0,0,21,100
Williamsburg,"14,068",1,7.1,0,0,0,0
