Locality/District/Region,2010 Population,Amebiasis Reported Cases,"Amebiasis Rate per 100,000",Campylobacteriosis Reported Cases,"Campylobacteriosis Rate per 100,000",Chickenpox Reported Cases,"Chickenpox Rate per 100,000"
Virginia Total,8001024,17,0.2,805,10.1,549,6.9
Alexandria,"139,966",1,0.7,9,6.4,6,4.3
Bristol,"17,835",0,0,2,11.2,1,5.6
Buena Vista,"6,650",0,0,2,30.1,0,0
Chesapeake,"222,209",0,0,4,1.8,14,6.3
Colonial Heights,"17,411",0,0,1,5.7,2,11.5
Danville,"43,055",0,0,3,7,3,7
Franklin City,"8,582",0,0,0,0,0,0
Fredericksburg,"24,286",0,0,2,8.2,0,0
Galax,"7,042",0,0,0,0,1,14.2
Hampton,"137,436",0,0,9,6.5,5,3.6
Hopewell,"22,591",0,0,0,0,3,13.3
Lynchburg,"75,568",0,0,11,14.6,4,5.3
Newport News,"180,719",0,0,6,3.3,7,3.9
Norfolk,"242,803",1,0.4,18,7.4,4,1.6
Petersburg,"32,420",1,3.1,0,0,1,3.1
Portsmouth,"95,535",1,1,2,2.1,3,3.1
Radford,"16,408",0,0,2,12.2,1,6.1
Richmond City,"204,214",0,0,12,5.9,3,1.5
Roanoke City,"97,032",0,0,13,13.4,8,8.2
Salem,"24,802",0,0,8,32.3,2,8.1
Suffolk,"84,585",0,0,5,5.9,0,0
Virginia Beach,"437,994",0,0,32,7.3,39,8.9
Waynesboro,"21,006",0,0,2,9.5,7,33.3
Williamsburg,"14,068",0,0,9,64,7,49.8
