Locality/District/Region,2010 Population,Gonorrhea Reported Cases,"Gonorrhea Rate per 100,000",H. influenzae Infecton (Invasive) Reported Cases,"H. influenzae Infecton (Invasive) Rate per 100,000",Hepatitis A Reported Cases,"Hepatitis A Rate per 100,000"
Virginia Total,8001024,6521,81.5,108,1.3,30,0.4
Central Shenandoah,"286,781",54,18.8,9,3.1,1,0.3
Lord Fairfax,"222,152",42,18.9,6,2.7,2,0.9
Rappahannock,"327,773",135,41.2,1,0.3,2,0.6
Rappahannock/Rapidan,"166,054",50,30.1,1,0.6,0,0
Thomas Jefferson,"234,712",157,66.9,1,0.4,0,0
Northwest Region,"1,237,472",438,35.4,18,1.5,5,0.4
Alexandria,"139,966",80,57.2,1,0.7,2,1.4
Arlington,"207,627",73,35.2,3,1.4,2,1
Fairfax,"1,116,623",207,18.5,13,1.2,0,0
Loudoun,"312,311",38,12.2,0,0,3,1
Prince William,"454,096",173,38.1,5,1.1,5,1.1
Northern Region,"2,230,623",571,25.6,22,1,12,0.5
Alleghany,"177,727",49,27.6,3,1.7,0,0
Central Virginia,"252,634",220,87.1,3,1.2,1,0.4
Cumberland Plateau,"113,976",11,9.7,2,1.8,2,1.8
Lenowisco,"94,174",20,21.2,1,1.1,2,2.1
Mount Rogers,"193,595",20,10.3,3,1.5,1,0.5
New River,"178,237",31,17.4,0,0,0,0
Pittsylvania/Danville,"106,561",172,161.4,2,1.9,0,0
Roanoke City,"97,032",256,263.8,3,3.1,0,0
West Piedmont,"142,621",45,31.6,1,0.7,2,1.4
Southwest Region,"1,356,557",824,60.7,18,1.3,8,0.6
Chesterfield,"361,693",218,60.3,4,1.1,1,0.3
Chickahominy,"147,265",29,19.7,2,1.4,0,0
Crater,"156,052",357,228.8,0,0,0,0
Henrico,"306,935",206,67.1,4,1.3,1,0.3
Piedmont,"104,609",102,97.5,2,1.9,0,0
Richmond City,"204,214",615,301.2,4,2,0,0
Southside,"86,402",177,204.9,0,0,0,0
Central Region,"1,367,170","1,704",124.6,16,1.2,0.1,
Chesapeake,"222,209",307,138.2,6,2.7,1,0.5
Eastern Shore,"45,553",55,120.7,0,0,0,0
Hampton,"137,436",343,249.6,3,2.2,0,0
Norfolk,"242,803",733,301.9,0,0,1,0.4
Peninsula,"339,410",526,155,11,3.2,0,0
Portsmouth,"95,535",288,301.5,2,2.1,0,0
Three Rivers,"141,255",109,77.2,3,2.1,0,0
Virginia Beach,"437,994",410,93.6,7,1.6,1,0.2
Western Tidewater,"147,007",213,144.9,2,1.4,0,0
Eastern Region,"1,809,202","2,984",164.9,34,1.9,3,0.2
