,Population,Giardiasis Reported Cases,"Giardiasis Rate per 100,000",Gonorrhea Reported Cases,"Gonorrhea Rate per 100,000",H. Influenzae Invasive Reported Cases,"H. Influenzae Invasive Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",426,5.77,"9,062",122.69,68,0.92
Accomack County,"39,025",1,2.56,68,174.25,0,0
"Albemarle Co., Charlottesville","126,832",19,14.98,97,76.48,1,0.79
"Alleghany, Clifton Forge, Covington","23,100",2,8.66,8,34.63,0,0
Amelia County,"11,742",0,0,4,34.07,0,0
Amherst County,"31,891",2,6.27,21,65.85,1,3.14
Appomattox County,"13,710",0,0,12,87.53,1,7.29
Arlington County,"187,873",28,14.9,94,50.03,0,0
"Augusta Co., Staunton","91,275",11,12.05,10,10.96,2,2.19
Bath County,"5,013",0,0,0,0,0,0
Bedford County and City,"69,000",2,2.9,13,18.84,2,2.9
Bland County,"6,965",0,0,2,28.72,0,0
Botetourt County,"31,448",0,0,10,31.8,1,3.18
Brunswick County,"18,199",0,0,23,126.38,0,0
Buchanan County,"25,598",0,0,0,0,0,0
Buckingham County,"15,839",1,6.31,11,69.45,0,0
Campbell County,"51,322",3,5.85,37,72.09,2,3.9
Caroline County,"23,190",1,4.31,27,116.43,0,0
Carroll County,"29,336",0,0,7,23.86,0,0
Charles City County,"7,118",0,0,19,266.93,1,14.05
Charlotte County,"12,452",0,0,8,64.25,0,0
Chesterfield County,"276,840",12,4.33,234,84.53,2,0.72
Clarke County,"13,364",0,0,0,0,0,0
Craig County,"5,159",0,0,0,0,1,19.38
Culpeper County,"38,555",0,0,22,57.06,1,2.59
Cumberland County,"9,189",1,10.88,8,87.06,0,0
Dickenson County,"16,119",1,6.2,0,0,1,6.2
Dinwiddie County,"24,853",2,8.05,21,84.5,0,0
Essex County,"10,260",0,0,11,107.21,0,0
Fairfax Co./City/Falls Church,"1,032,921",73,7.07,187,18.1,3,0.29
Fauquier County,"61,137",1,1.64,13,21.26,0,0
Floyd County,"14,350",1,6.97,3,20.91,0,0
Fluvanna County,"23,078",0,0,14,60.66,0,0
Franklin County,"49,095",1,2.04,11,22.41,0,0
"Frederick Co., Winchester","88,999",4,4.49,34,38.2,1,1.12
Giles County,"16,956",0,0,0,0,0,0
Gloucester County,"36,698",2,5.45,8,21.8,0,0
Goochland County,"18,138",3,16.54,9,49.62,0,0
Grayson County,"16,557",0,0,4,24.16,0,0
Greene County,"16,779",3,17.88,3,17.88,0,0
"Greensville Co., Emporia","17,237",0,0,22,127.63,0,0
Halifax County,"36,632",2,5.46,30,81.9,1,2.73
Hanover County,"94,081",4,4.25,31,32.95,4,4.25
Henrico County,"271,083",21,7.75,369,136.12,5,1.84
VIRGINIA TOTAL,"7,386,330",426,5.77,"9,062",122.69,68,0.92
"Henry Co., Martinsville","72,211",2,2.77,71,98.32,0,0
Highland County,"2,504",0,0,0,0,0,0
Isle of Wight County,"31,925",2,6.26,41,128.43,0,0
James City County,"53,487",0,0,34,63.57,0,0
King and Queen County,"6,588",0,0,11,166.97,0,0
King George County,"18,213",2,10.98,13,71.38,0,0
King William County,"14,131",1,7.08,19,134.46,0,0
Lancaster County,"12,074",0,0,33,273.31,0,0
Lee County,"23,734",1,4.21,1,4.21,1,4.21
Loudoun County,"221,746",15,6.76,30,13.53,0,0
Louisa County,"28,031",0,0,18,64.21,0,0
Lunenburg County,"13,167",0,0,10,75.95,0,0
Madison County,"13,036",0,0,1,7.67,0,0
Mathews County,"9,216",0,0,7,75.95,0,0
Mecklenburg County,"32,551",0,0,49,150.53,0,0
Middlesex County,"10,211",1,9.79,8,78.35,0,0
Montgomery County,"85,614",3,3.5,22,25.7,0,0
Nelson County,"14,942",0,0,7,46.85,0,0
New Kent County,"14,843",1,6.74,9,60.63,0,0
Northampton County,"13,285",0,0,22,165.6,0,0
Northumberland County,"12,742",0,0,21,164.81,0,0
Nottoway County,"15,603",0,0,26,166.63,0,0
Orange County,"28,018",1,3.57,15,53.54,0,0
Page County,"23,589",0,0,0,0,0,0
Patrick County,"19,182",0,0,4,20.85,0,0
Pittsylvania County,"61,640",3,4.87,96,155.74,0,0
Powhatan County,"24,649",0,0,5,20.28,0,0
Prince Edward County,"20,180",0,0,24,118.93,0,0
Prince George County,"34,305",0,0,47,137.01,0,0
Pr. William Co./Manassas/M. Park,"373,480",17,4.55,176,47.12,0,0
Pulaski County,"35,030",1,2.85,23,65.66,0,0
Rappahannock County,"7,110",0,0,3,42.19,0,0
Richmond County,"9,006",0,0,9,99.93,0,0
Roanoke County,"87,329",0,0,33,37.79,1,1.15
"Rockbridge Co., Lexington","28,049",2,7.13,12,42.78,1,3.57
"Rockingham Co., Harrisonburg","110,535",5,4.52,17,15.38,2,1.81
Russell County,"28,861",1,3.46,0,0,0,0
Scott County,"23,005",1,4.35,7,30.43,0,0
Shenandoah County,"37,199",1,2.69,3,8.06,0,0
Smyth County,"32,700",0,0,2,6.12,0,0
Southampton County,"17,453",0,0,32,183.35,0,0
Spotsylvania County,"107,838",4,3.71,41,38.02,3,2.78
Stafford County,"111,021",5,4.5,38,34.23,1,0.9
VIRGINIA TOTAL,"7,386,330",426,5.77,"9,062",122.69,68,0.92
Surry County,"7,009",0,0,11,156.94,0,0
Sussex County,"11,956",0,0,9,75.28,0,0
Tazewell County,"44,362",2,4.51,5,11.27,1,2.25
Warren County,"33,871",1,2.95,10,29.52,0,0
Washington County,"51,405",2,3.89,2,3.89,0,0
Westmoreland County,"16,946",0,0,11,64.91,0,0
"Wise Co., Norton","45,712",1,2.19,2,4.38,0,0
Wythe County,"27,941",0,0,7,25.05,1,3.58
"York Co., Poquoson","72,792",2,2.75,27,37.09,0,0
