,Population,Rocky Mountain Spotted Fever Reported Cases,"Rocky Mountain Spotted Fever Rate per 100,000",Salmonellosis Reported Cases,"Salmonellosis Rate per 100,000",Shigellosis Reported Cases,"Shigellosis Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",34,0.46,"1,175",15.91,451,6.11
Accomack County,"39,025",1,2.56,10,25.62,0,0
"Albemarle Co., Charlottesville","126,832",2,1.58,29,22.86,2,1.58
"Alleghany, Covington","23,100",0,0,0,0,0,0
Amelia County,"11,742",0,0,2,17.03,0,0
Amherst County,"31,891",0,0,2,6.27,2,6.27
Appomattox County,"13,710",0,0,3,21.88,1,7.29
Arlington County,"187,873",0,0,27,14.37,22,11.71
"Augusta Co., Staunton","91,275",0,0,16,17.53,0,0
Bath County,"5,013",0,0,1,19.95,0,0
Bedford County and City,"69,000",1,1.45,14,20.29,0,0
Bland County,"6,965",0,0,1,14.36,0,0
Botetourt County,"31,448",0,0,2,6.36,0,0
Brunswick County,"18,199",0,0,0,0,0,0
Buchanan County,"25,598",0,0,2,7.81,0,0
Buckingham County,"15,839",0,0,2,12.63,0,0
Campbell County,"51,322",0,0,8,15.59,3,5.85
Caroline County,"23,190",0,0,5,21.56,2,8.62
Carroll County,"29,336",0,0,4,13.64,0,0
Charles City County,"7,118",0,0,0,0,0,0
Charlotte County,"12,452",0,0,6,48.19,0,0
Chesterfield County,"276,840",1,0.36,39,14.09,17,6.14
Clarke County,"13,364",0,0,5,37.41,0,0
Craig County,"5,159",0,0,1,19.38,0,0
Culpeper County,"38,555",0,0,9,23.34,1,2.59
Cumberland County,"9,189",0,0,2,21.77,0,0
Dickenson County,"16,119",0,0,0,0,0,0
Dinwiddie County,"24,853",0,0,2,8.05,0,0
Essex County,"10,260",0,0,2,19.49,5,48.73
Fairfax Co./City/Falls Church,"1,032,921",1,0.1,205,19.85,62,6
Fauquier County,"61,137",0,0,13,21.26,0,0
Floyd County,"14,350",0,0,0,0,0,0
Fluvanna County,"23,078",1,4.33,4,17.33,0,0
Franklin County,"49,095",1,2.04,3,6.11,0,0
"Frederick Co., Winchester","88,999",0,0,21,23.6,5,5.62
Giles County,"16,956",0,0,4,23.59,0,0
Gloucester County,"36,698",0,0,4,10.9,0,0
Goochland County,"18,138",0,0,3,16.54,1,5.51
Grayson County,"16,557",0,0,2,12.08,0,0
Greene County,"16,779",1,5.96,2,11.92,0,0
"Greensville Co., Emporia","17,237",1,5.8,0,0,1,5.8
Halifax County,"36,632",0,0,7,19.11,0,0
Hanover County,"94,081",1,1.06,14,14.88,9,9.57
Henrico County,"271,083",3,1.11,43,15.86,26,9.59
"Henry Co., Martinsville","72,211",1,1.38,12,16.62,0,0
Highland County,"2,504",0,0,0,0,0,0
Isle of Wight County,"31,925",1,3.13,3,9.4,1,3.13
James City County,"53,487",0,0,1,1.87,0,0
King and Queen County,"6,588",0,0,3,45.54,0,0
King George County,"18,213",0,0,0,0,0,0
King William County,"14,131",0,0,5,35.38,1,7.08
Lancaster County,"12,074",0,0,4,33.13,1,8.28
Lee County,"23,734",0,0,2,8.43,1,4.21
Loudoun County,"221,746",0,0,42,18.94,9,4.06
Louisa County,"28,031",0,0,3,10.7,1,3.57
Lunenburg County,"13,167",0,0,0,0,0,0
Madison County,"13,036",0,0,0,0,0,0
Mathews County,"9,216",0,0,1,10.85,0,0
Mecklenburg County,"32,551",0,0,3,9.22,2,6.14
Middlesex County,"10,211",0,0,1,9.79,0,0
Montgomery County,"85,614",0,0,9,10.51,0,0
Nelson County,"14,942",0,0,1,6.69,2,13.39
New Kent County,"14,843",0,0,3,20.21,0,0
Northampton County,"13,285",1,7.53,2,15.05,0,0
Northumberland County,"12,742",0,0,1,7.85,0,0
Nottoway County,"15,603",0,0,7,44.86,1,6.41
Orange County,"28,018",0,0,2,7.14,0,0
Page County,"23,589",0,0,2,8.48,0,0
Patrick County,"19,182",0,0,4,20.85,0,0
Pittsylvania County,"61,640",0,0,2,3.24,0,0
Powhatan County,"24,649",0,0,8,32.46,1,4.06
Prince Edward County,"20,180",0,0,6,29.73,0,0
Prince George County,"34,305",0,0,3,8.75,1,2.92
Pr. William Co./Manassas/ M. Park,"373,480",0,0,57,15.26,17,4.55
Pulaski County,"35,030",0,0,4,11.42,1,2.85
Rappahannock County,"7,110",0,0,4,56.26,0,0
Richmond County,"9,006",0,0,1,11.1,2,22.21
Roanoke County,"87,329",0,0,1,1.15,0,0
"Rockbridge Co., Lexington","28,049",0,0,1,3.57,0,0
"Rockingham Co., Harrisonburg","110,535",1,0.9,20,18.09,4,3.62
Russell County,"28,861",0,0,1,3.46,0,0
Scott County,"23,005",0,0,2,8.69,57,247.77
Shenandoah County,"37,199",0,0,7,18.82,0,0
Smyth County,"32,700",0,0,5,15.29,0,0
Southampton County,"17,453",0,0,3,17.19,2,11.46
Spotsylvania County,"107,838",0,0,11,10.2,0,0
Stafford County,"111,021",3,2.7,12,10.81,1,0.9
Surry County,"7,009",0,0,0,0,0,0
Sussex County,"11,956",0,0,0,0,0,0
Tazewell County,"44,362",0,0,10,22.54,1,2.25
Warren County,"33,871",3,8.86,2,5.9,0,0
Washington County,"51,405",0,0,11,21.4,0,0
Westmoreland County,"16,946",0,0,1,5.9,0,0
"Wise Co., Norton","45,712",0,0,6,13.13,0,0
Wythe County,"27,941",0,0,8,28.63,0,0
"York Co., Poquoson","72,792",0,0,4,5.5,0,0
