,Population,"Syphillis, Early Reported Cases","Syphillis, Early Rate per 100,000",Tuberculosis Reported Cases,"Tuberculosis Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",156,2.11,332,4.49
Alexandria,"128,923",13,10.08,11,8.53
Bristol,"17,206",0,0,3,17.44
Buena Vista,"6,320",0,0,0,0
Chesapeake,"210,834",7,3.32,3,1.42
Colonial Heights,"17,286",0,0,0,0
Danville,"46,988",2,4.26,2,4.26
Franklin City,"8,254",0,0,1,12.12
Fredericksburg,"20,189",0,0,0,0
Galax,"6,655",0,0,1,15.03
Hampton,"146,878",1,0.68,2,1.36
Hopewell,"22,391",0,0,2,8.93
Lynchburg,"65,113",1,1.54,0,0
Newport News,"181,647",3,1.65,7,3.85
Norfolk,"241,727",19,7.86,9,3.72
Petersburg,"33,091",1,3.02,5,15.11
Portsmouth,"99,617",6,6.02,5,5.02
Radford,"15,006",0,0,0,0
Richmond City,"194,729",21,10.78,27,13.87
Roanoke City,"92,863",2,2.15,3,3.23
Salem,"24,603",0,0,0,0
Suffolk,"73,515",1,1.36,3,4.08
Virginia Beach,"439,467",6,1.37,14,3.19
Waynesboro,"20,388",0,0,4,19.62
Williamsburg,"11,605",0,0,2,17.23
