,Population,Hepatitis A Reported Cases,"Hepatitis A Rate per 100,000",Hepatitis B Acute Reported Cases,"Hepatitis B Acute Rate per 100,000",Hepatitis C Acute Reported Cases,"Hepatitis C Acute Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",142,1.92,227,3.07,15,0.2
Accomack County,"39,025",4,10.25,5,12.81,0,0
"Albemarle Co., Charlottesville","126,832",3,2.37,1,0.79,0,0
"Alleghany, Clifton Forge, Covington","23,100",0,0,1,4.33,0,0
Amelia County,"11,742",0,0,1,8.52,0,0
Amherst County,"31,891",0,0,0,0,0,0
Appomattox County,"13,710",0,0,0,0,0,0
Arlington County,"187,873",9,4.79,5,2.66,0,0
"Augusta Co., Staunton","91,275",3,3.29,0,0,0,0
Bath County,"5,013",0,0,0,0,0,0
Bedford County and City,"69,000",0,0,0,0,0,0
Bland County,"6,965",0,0,0,0,0,0
Botetourt County,"31,448",0,0,0,0,0,0
Brunswick County,"18,199",1,5.49,0,0,0,0
Buchanan County,"25,598",0,0,4,15.63,0,0
Buckingham County,"15,839",0,0,0,0,0,0
Campbell County,"51,322",0,0,1,1.95,0,0
Caroline County,"23,190",0,0,0,0,0,0
Carroll County,"29,336",0,0,0,0,0,0
Charles City County,"7,118",0,0,1,14.05,0,0
Charlotte County,"12,452",0,0,0,0,0,0
Chesterfield County,"276,840",0,0,8,2.89,1,0.36
Clarke County,"13,364",0,0,0,0,0,0
Craig County,"5,159",0,0,0,0,0,0
Culpeper County,"38,555",0,0,1,2.59,0,0
Cumberland County,"9,189",0,0,1,10.88,0,0
Dickenson County,"16,119",2,12.41,0,0,1,6.2
Dinwiddie County,"24,853",0,0,0,0,0,0
Essex County,"10,260",0,0,0,0,0,0
Fairfax Co./City/Falls Church,"1,032,921",29,2.81,10,0.97,0,0
Fauquier County,"61,137",0,0,0,0,0,0
Floyd County,"14,350",1,6.97,0,0,0,0
Fluvanna County,"23,078",0,0,2,8.67,0,0
Franklin County,"49,095",0,0,1,2.04,0,0
"Frederick Co., Winchester","88,999",0,0,6,6.74,0,0
Giles County,"16,956",0,0,1,5.9,0,0
Gloucester County,"36,698",0,0,0,0,0,0
Goochland County,"18,138",0,0,0,0,0,0
Grayson County,"16,557",0,0,0,0,0,0
Greene County,"16,779",1,5.96,0,0,0,0
"Greensville Co., Emporia","17,237",0,0,1,5.8,0,0
Halifax County,"36,632",0,0,0,0,0,0
Hanover County,"94,081",2,2.13,4,4.25,1,1.06
Henrico County,"271,083",7,2.58,18,6.64,0,0
VIRGINIA TOTAL,"7,386,330",142,1.92,227,3.07,15,0.2
"Henry Co., Martinsville","72,211",1,1.38,1,1.38,0,0
Highland County,"2,504",0,0,0,0,0,0
Isle of Wight County,"31,925",0,0,0,0,0,0
James City County,"53,487",0,0,0,0,0,0
King and Queen County,"6,588",0,0,0,0,0,0
King George County,"18,213",0,0,0,0,0,0
King William County,"14,131",0,0,1,7.08,0,0
Lancaster County,"12,074",0,0,1,8.28,0,0
Lee County,"23,734",0,0,0,0,0,0
Loudoun County,"221,746",7,3.16,3,1.35,0,0
Louisa County,"28,031",0,0,3,10.7,0,0
Lunenburg County,"13,167",0,0,0,0,0,0
Madison County,"13,036",0,0,0,0,0,0
Mathews County,"9,216",0,0,0,0,0,0
Mecklenburg County,"32,551",3,9.22,1,3.07,0,0
Middlesex County,"10,211",0,0,0,0,0,0
Montgomery County,"85,614",1,1.17,2,2.34,0,0
Nelson County,"14,942",0,0,0,0,0,0
New Kent County,"14,843",0,0,3,20.21,0,0
Northampton County,"13,285",0,0,2,15.05,0,0
Northumberland County,"12,742",0,0,0,0,0,0
Nottoway County,"15,603",0,0,0,0,0,0
Orange County,"28,018",0,0,0,0,0,0
Page County,"23,589",0,0,0,0,0,0
Patrick County,"19,182",0,0,0,0,0,0
Pittsylvania County,"61,640",0,0,1,1.62,0,0
Powhatan County,"24,649",0,0,2,8.11,1,4.06
Prince Edward County,"20,180",0,0,0,0,0,0
Prince George County,"34,305",1,2.92,1,2.92,0,0
Pr. William Co./Manassas/M. Park,"373,480",5,1.34,4,1.07,1,0.27
Pulaski County,"35,030",0,0,6,17.13,1,2.85
Rappahannock County,"7,110",0,0,0,0,0,0
Richmond County,"9,006",0,0,0,0,0,0
Roanoke County,"87,329",1,1.15,1,1.15,1,1.15
"Rockbridge Co., Lexington","28,049",0,0,0,0,0,0
"Rockingham Co., Harrisonburg","110,535",2,1.81,1,0.9,0,0
Russell County,"28,861",0,0,4,13.86,1,3.46
Scott County,"23,005",0,0,0,0,0,0
Shenandoah County,"37,199",0,0,0,0,0,0
Smyth County,"32,700",0,0,1,3.06,0,0
Southampton County,"17,453",0,0,0,0,0,0
Spotsylvania County,"107,838",1,0.93,1,0.93,0,0
Stafford County,"111,021",3,2.7,4,3.6,0,0
Surry County,"7,009",0,0,0,0,0,0
Sussex County,"11,956",0,0,0,0,0,0
Tazewell County,"44,362",1,2.25,6,13.53,2,4.51
Warren County,"33,871",0,0,2,5.9,0,0
Washington County,"51,405",1,1.95,2,3.89,1,1.95
Westmoreland County,"16,946",1,5.9,0,0,0,0
"Wise Co., Norton","45,712",2,4.38,1,2.19,0,0
Wythe County,"27,941",1,3.58,0,0,1,3.58
"York Co., Poquoson","72,792",1,1.37,1,1.37,0,0
