,Population,Lyme Disease Reported Cases,"Lyme Disease Rate per 100,000",Malaria Reported Cases,"Malaria Rate per 100,000",Meningococcal Infection Reported Cases,"Meningococcal Infection Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",202,2.73,60,0.81,28,0.38
Alexandria,"128,923",6,4.65,7,5.43,2,1.55
Bristol,"17,206",0,0,0,0,0,0
Buena Vista,"6,320",0,0,0,0,0,0
Chesapeake,"210,834",4,1.9,0,0,0,0
Colonial Heights,"17,286",1,5.79,0,0,0,0
Danville,"46,988",0,0,0,0,0,0
Franklin City,"8,254",0,0,0,0,0,0
Fredericksburg,"20,189",0,0,0,0,0,0
Galax,"6,655",0,0,0,0,0,0
Hampton,"146,878",1,0.68,0,0,1,0.68
Hopewell,"22,391",0,0,0,0,0,0
Lynchburg,"65,113",0,0,1,1.54,1,1.54
Newport News,"181,647",3,1.65,1,0.55,0,0
Norfolk,"241,727",1,0.41,2,0.83,0,0
Petersburg,"33,091",0,0,2,6.04,0,0
Portsmouth,"99,617",1,1,1,1,1,1
Radford,"15,006",0,0,0,0,1,6.66
Richmond City,"194,729",0,0,3,1.54,1,0.51
Roanoke City,"92,863",0,0,1,1.08,1,1.08
Salem,"24,603",0,0,0,0,0,0
Suffolk,"73,515",1,1.36,0,0,0,0
Virginia Beach,"439,467",0,0,4,0.91,2,0.46
Waynesboro,"20,388",0,0,0,0,1,4.9
Williamsburg,"11,605",2,17.23,0,0,1,8.62
