,Population,"Syphillis, Early Reported Cases","Syphillis, Early Rate per 100,000",Tuberculosis Reported Cases,"Tuberculosis Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",156,2.11,332,4.49
Accomack County,"39,025",1,2.56,6,15.37
"Albemarle Co., Charlottesville","126,832",1,0.79,3,2.37
"Alleghany, Covington","23,100",0,0,0,0
Amelia County,"11,742",1,8.52,0,0
Amherst County,"31,891",0,0,1,3.14
Appomattox County,"13,710",0,0,0,0
Arlington County,"187,873",13,6.92,32,17.03
"Augusta Co., Staunton","91,275",0,0,0,0
Bath County,"5,013",0,0,0,0
Bedford County and City,"69,000",0,0,0,0
Bland County,"6,965",0,0,0,0
Botetourt County,"31,448",0,0,1,3.18
Brunswick County,"18,199",0,0,0,0
Buchanan County,"25,598",0,0,0,0
Buckingham County,"15,839",0,0,0,0
Campbell County,"51,322",0,0,0,0
Caroline County,"23,190",0,0,1,4.31
Carroll County,"29,336",0,0,1,3.41
Charles City County,"7,118",0,0,0,0
Charlotte County,"12,452",1,8.03,0,0
Chesterfield County,"276,840",3,1.08,9,3.25
Clarke County,"13,364",0,0,0,0
Craig County,"5,159",0,0,0,0
Culpeper County,"38,555",0,0,1,2.59
Cumberland County,"9,189",0,0,0,0
Dickenson County,"16,119",0,0,1,6.2
Dinwiddie County,"24,853",1,4.02,2,8.05
Essex County,"10,260",0,0,0,0
Fairfax Co./City/Falls Church,"1,032,921",20,1.94,85,8.23
Fauquier County,"61,137",0,0,1,1.64
Floyd County,"14,350",0,0,0,0
Fluvanna County,"23,078",0,0,0,0
Franklin County,"49,095",0,0,1,2.04
"Frederick Co., Winchester","88,999",0,0,2,2.25
Giles County,"16,956",0,0,1,5.9
Gloucester County,"36,698",0,0,0,0
Goochland County,"18,138",1,5.51,1,5.51
Grayson County,"16,557",0,0,0,0
Greene County,"16,779",0,0,0,0
"Greensville Co., Emporia","17,237",1,5.8,4,23.21
Halifax County,"36,632",0,0,0,0
Hanover County,"94,081",0,0,1,1.06
Henrico County,"271,083",8,2.95,12,4.43
"Henry Co., Martinsville","72,211",1,1.38,0,0
Highland County,"2,504",0,0,0,0
Isle of Wight County,"31,925",0,0,2,6.26
James City County,"53,487",1,1.87,0,0
King and Queen County,"6,588",0,0,0,0
King George County,"18,213",0,0,1,5.49
King William County,"14,131",0,0,0,0
Lancaster County,"12,074",0,0,0,0
Lee County,"23,734",0,0,0,0
Loudoun County,"221,746",2,0.9,10,4.51
Louisa County,"28,031",0,0,0,0
Lunenburg County,"13,167",0,0,0,0
Madison County,"13,036",0,0,0,0
Mathews County,"9,216",0,0,0,0
Mecklenburg County,"32,551",0,0,0,0
Middlesex County,"10,211",0,0,0,0
Montgomery County,"85,614",0,0,1,1.17
Nelson County,"14,942",0,0,2,13.39
New Kent County,"14,843",0,0,0,0
Northampton County,"13,285",0,0,1,7.53
Northumberland County,"12,742",0,0,2,15.7
Nottoway County,"15,603",0,0,0,0
Orange County,"28,018",0,0,0,0
Page County,"23,589",0,0,0,0
Patrick County,"19,182",0,0,1,5.21
Pittsylvania County,"61,640",1,1.62,0,0
Powhatan County,"24,649",0,0,0,0
Prince Edward County,"20,180",0,0,0,0
Prince George County,"34,305",0,0,1,2.92
Pr. William Co./Manassas/M. Park,"373,480",10,2.68,19,5.09
Pulaski County,"35,030",0,0,1,2.85
Rappahannock County,"7,110",1,14.06,0,0
Richmond County,"9,006",0,0,0,0
Roanoke County,"87,329",0,0,0,0
"Rockbridge Co., Lexington","28,049",0,0,0,0
"Rockingham Co., Harrisonburg","110,535",1,0.9,10,9.05
Russell County,"28,861",0,0,0,0
Scott County,"23,005",1,4.35,0,0
Shenandoah County,"37,199",0,0,0,0
Smyth County,"32,700",0,0,1,3.06
Southampton County,"17,453",0,0,1,5.73
Spotsylvania County,"107,838",0,0,1,0.93
Stafford County,"111,021",2,1.8,3,2.7
Surry County,"7,009",0,0,1,14.27
Sussex County,"11,956",0,0,0,0
Tazewell County,"44,362",0,0,1,2.25
Warren County,"33,871",1,2.95,0,0
Washington County,"51,405",0,0,0,0
Westmoreland County,"16,946",0,0,0,0
"Wise Co., Norton","45,712",0,0,2,4.38
Wythe County,"27,941",1,3.58,0,0
"York Co., Poquoson","72,792",0,0,1,1.37
