,Population,Chickenpox Reported Cases,"Chickenpox Rate per 100,000",Chlamydia Trachomatis Infecton Reported Cases,"Chlamydia Trachomatis Infecton  Rate per 100,000",E. coli O157:H7 Reported Cases,"E. coli O157:H7  Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",682,9.23,"19,439",263.18,49,0.66
Alexandria,"128,923",26,20.17,372,288.54,1,0.78
Bristol,"17,206",1,5.81,57,331.28,2,11.62
Buena Vista,"6,320",0,0,5,79.11,0,0
Chesapeake,"210,834",21,9.96,630,298.81,1,0.47
Colonial Heights,"17,286",0,0,40,231.4,0,0
Danville,"46,988",0,0,362,770.41,0,0
Franklin City,"8,254",0,0,74,896.54,0,0
Fredericksburg,"20,189",0,0,119,589.43,0,0
Galax,"6,655",1,15.03,11,165.29,0,0
Hampton,"146,878",1,0.68,"1,007",685.6,1,0.68
Hopewell,"22,391",0,0,103,460.01,0,0
Lynchburg,"65,113",1,1.54,284,436.16,1,1.54
Newport News,"181,647",0,0,"1,143",629.24,0,0
Norfolk,"241,727",40,16.55,"1,263",522.49,0,0
Petersburg,"33,091",1,3.02,271,818.95,0,0
Portsmouth,"99,617",7,7.03,498,499.91,1,1
Radford,"15,006",0,0,60,399.84,0,0
Richmond City,"194,729",8,4.11,"2,053",1054.29,0,0
Roanoke City,"92,863",6,6.46,550,592.27,0,0
Salem,"24,603",0,0,46,186.97,0,0
Suffolk,"73,515",0,0,399,542.75,0,0
Virginia Beach,"439,467",276,62.8,"1,323",301.05,2,0.46
Waynesboro,"20,388",0,0,74,362.96,0,0
Williamsburg,"11,605",1,8.62,35,301.59,0,0
