,Population,Giardiasis Reported Cases,"Giardiasis Rate per 100,000",Gonorrhea Reported Cases,"Gonorrhea Rate per 100,000",H. Influenzae Invasive Reported Cases,"H. Influenzae Invasive Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",426,5.77,"9,062",122.69,68,0.92
Alexandria,"128,923",19,14.74,102,79.12,0,0
Bristol,"17,206",2,11.62,8,46.5,1,5.81
Buena Vista,"6,320",0,0,2,31.65,0,0
Chesapeake,"210,834",5,2.37,380,180.24,2,0.95
Colonial Heights,"17,286",4,23.14,10,57.85,0,0
Danville,"46,988",2,4.26,141,300.08,0,0
Franklin City,"8,254",0,0,60,726.92,1,12.12
Fredericksburg,"20,189",12,59.44,32,158.5,0,0
Galax,"6,655",0,0,8,120.21,0,0
Hampton,"146,878",4,2.72,500,340.42,1,0.68
Hopewell,"22,391",0,0,46,205.44,0,0
Lynchburg,"65,113",1,1.54,142,218.08,5,7.68
Newport News,"181,647",21,11.56,901,496.02,0,0
Norfolk,"241,727",10,4.14,"1,061",438.92,4,1.65
Petersburg,"33,091",9,27.2,174,525.82,0,0
Portsmouth,"99,617",3,3.01,310,311.19,0,0
Radford,"15,006",2,13.33,10,66.64,0,0
Richmond City,"194,729",2,1.03,"1,249",641.4,5,2.57
Roanoke City,"92,863",11,11.85,370,398.44,2,2.15
Salem,"24,603",5,20.32,12,48.77,0,0
Suffolk,"73,515",2,2.72,276,375.43,2,2.72
Virginia Beach,"439,467",28,6.37,613,139.49,4,0.91
Waynesboro,"20,388",1,4.9,8,39.24,0,0
Williamsburg,"11,605",5,43.08,18,155.11,0,0
