,Population,AIDS Reported Cases,"AIDS Rate per 100,000",Amebiasis Reported Cases,"Amebiasis Rate per 100,000",Campylobacteriosis Reported Cases,"Campylobacteriosis Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",2090,28.3,46,0.62,2272,30.76
"Henry Co., Martinsville","72,211",3,4.15,0,0,4,5.54
Highland County,"2,504",0,0,0,0,2,79.87
Isle of Wight County,"31,925",1,3.13,0,0,3,9.4
James City County,"53,487",1,1.87,0,0,0,0
King and Queen County,"6,588",0,0,0,0,2,30.36
King George County,"18,213",0,0,0,0,3,16.47
King William County,"14,131",0,0,0,0,2,14.15
Lancaster County,"12,074",3,24.85,0,0,0,0
Lee County,"23,734",2,8.43,0,0,6,25.28
Loudoun County,"221,746",13,5.86,0,0,27,12.18
Louisa County,"28,031",3,10.7,0,0,1,3.57
Lunenburg County,"13,167",1,7.59,0,0,2,15.19
Madison County,"13,036",0,0,0,0,1,7.67
Mathews County,"9,216",0,0,0,0,1,10.85
Mecklenburg County,"32,551",5,15.36,0,0,5,15.36
Middlesex County,"10,211",0,0,0,0,0,0
Montgomery County,"85,614",0,0,0,0,7,8.18
Nelson County,"14,942",3,20.08,0,0,5,33.46
New Kent County,"14,843",2,13.47,0,0,6,40.42
Northampton County,"13,285",5,37.64,0,0,1,7.53
Northumberland County,"12,742",2,15.7,0,0,0,0
Nottoway County,"15,603",1,6.41,0,0,0,0
Orange County,"28,018",2,7.14,0,0,0,0
Page County,"23,589",0,0,0,0,13,55.11
Patrick County,"19,182",0,0,0,0,1,5.21
Pittsylvania County,"61,640",0,0,0,0,4,6.49
Powhatan County,"24,649",4,16.23,0,0,2,8.11
Prince Edward County,"20,180",0,0,0,0,2,9.91
Prince George County,"34,305",1,2.92,0,0,2,5.83
Pr. William Co./Manassas/M. Park,"373,480",36,9.64,0,0,26,6.96
Pulaski County,"35,030",2,5.71,0,0,1,2.85
Rappahannock County,"7,110",1,14.06,0,0,1,14.06
Richmond County,"9,006",0,0,0,0,3,33.31
Roanoke County,"87,329",4,4.58,0,0,4,4.58
"Rockbridge Co., Lexington","28,049",1,3.57,0,0,3,10.7
"Rockingham Co., Harrisonburg","110,535",6,5.43,0,0,59,53.38
Russell County,"28,861",0,0,0,0,4,13.86
Scott County,"23,005",0,0,0,0,4,17.39
Shenandoah County,"37,199",2,5.38,0,0,19,51.08
Smyth County,"32,700",1,3.06,0,0,3,9.17
Southampton County,"17,453",2,11.46,0,0,0,0
Spotsylvania County,"107,838",5,4.64,1,0.93,7,6.49
Stafford County,"111,021",8,7.21,0,0,15,13.51
