,Population,AIDS Reported Cases,"AIDS Rate per 100,000",Amebiasis Reported Cases,"Amebiasis Rate per 100,000",Campylobacteriosis Reported Cases,"Campylobacteriosis Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",793,10.74,20,0.27,882,11.94
Accomack County,"39,025",6,15.37,0,0,2,5.12
"Albemarle Co., Charlottesville","126,832",6,4.73,1,0.79,11,8.67
"Alleghany, Clifton Forge, Covington","23,100",0,0,0,0,3,12.99
Amelia County,"11,742",1,8.52,0,0,3,25.55
Amherst County,"31,891",2,6.27,1,3.14,6,18.81
Appomattox County,"13,710",0,0,0,0,1,7.29
Arlington County,"187,873",66,35.13,3,1.6,24,12.77
"Augusta Co., Staunton","91,275",1,1.1,0,0,9,9.86
Bath County,"5,013",0,0,0,0,0,0
Bedford County and City,"69,000",5,7.25,0,0,9,13.04
Bland County,"6,965",0,0,0,0,1,14.36
Botetourt County,"31,448",0,0,0,0,6,19.08
Brunswick County,"18,199",4,21.98,0,0,1,5.49
Buchanan County,"25,598",1,3.91,0,0,3,11.72
Buckingham County,"15,839",5,31.57,0,0,1,6.31
Campbell County,"51,322",3,5.85,0,0,9,17.54
Caroline County,"23,190",1,4.31,0,0,4,17.25
Carroll County,"29,336",0,0,0,0,3,10.23
Charles City County,"7,118",1,14.05,0,0,1,14.05
Charlotte County,"12,452",1,8.03,0,0,4,32.12
Chesterfield County,"276,840",22,7.95,0,0,35,12.64
Clarke County,"13,364",1,7.48,0,0,8,59.86
Craig County,"5,159",0,0,0,0,2,38.77
Culpeper County,"38,555",6,15.56,0,0,2,5.19
Cumberland County,"9,189",0,0,0,0,1,10.88
Dickenson County,"16,119",0,0,0,0,1,6.2
Dinwiddie County,"24,853",0,0,0,0,5,20.12
Essex County,"10,260",1,9.75,0,0,0,0
Fairfax Co./City/Falls Church,"1,032,921",105,10.17,9,0.87,98,9.49
Fauquier County,"61,137",2,3.27,0,0,6,9.81
Floyd County,"14,350",0,0,0,0,2,13.94
Fluvanna County,"23,078",2,8.67,0,0,1,4.33
Franklin County,"49,095",0,0,0,0,2,4.07
"Frederick Co., Winchester","88,999",6,6.74,0,0,27,30.34
Giles County,"16,956",2,11.8,0,0,4,23.59
Gloucester County,"36,698",1,2.72,0,0,2,5.45
Goochland County,"18,138",1,5.51,0,0,3,16.54
Grayson County,"16,557",1,6.04,0,0,1,6.04
Greene County,"16,779",1,5.96,0,0,0,0
"Greensville Co., Emporia","17,237",2,11.6,0,0,1,5.8
Halifax County,"36,632",6,16.38,0,0,2,5.46
Hanover County,"94,081",4,4.25,0,0,19,20.2
Henrico County,"271,083",19,7.01,0,0,42,15.49
