,Population,Lyme Disease Reported Cases,"Lyme Disease Rate per 100,000",Malaria Reported Cases,"Malaria Rate per 100,000",Meningococcal Infection Reported Cases,"Meningococcal Infection Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",202,2.73,60,0.81,28,0.38
Central Shenandoah,"264,084",3,1.14,1,0.38,2,0.76
Lord Fairfax,"197,022",8,4.06,0,0,1,0.51
Rappahannock,"280,451",3,1.07,3,1.07,0,0
Rappahannock/Rapidan,"147,856",12,8.12,0,0,0,0
Thomas Jefferson,"209,662",4,1.91,0,0,1,0.48
Northwest Region,"1,099,075",30,2.73,4,0.36,4,0.36
VIRGINIA TOTAL,"7,386,330",202,2.73,60,0.81,28,0.38
Alexandria,"128,923",6,4.65,7,5.43,2,1.55
Arlington,"187,873",8,4.26,4,2.13,1,0.53
Fairfax,"1,032,921",10,0.97,15,1.45,0,0
Loudoun,"221,746",70,31.57,3,1.35,0,0
Prince William,"373,480",22,5.89,5,1.34,1,0.27
Northern Region,"1,944,943",116,5.96,34,1.75,4,0.21
Alleghany,"171,639",0,0,1,0.58,1,0.58
Central Virginia,"231,036",0,0,1,0.43,3,1.3
Cumberland Plateau,"114,940",2,1.74,0,0,0,0
Lenowisco,"92,451",1,1.08,0,0,0,0
Mount Rogers,"188,765",1,0.53,0,0,0,0
New River,"166,956",1,0.6,1,0.6,2,1.2
Pittsylvania/Danville,"108,628",0,0,0,0,0,0
Roanoke City,"92,863",0,0,1,1.08,1,1.08
West Piedmont,"140,488",1,0.71,0,0,3,2.14
Southwest Region,"1,307,766",6,0.46,4,0.31,10,0.76
Chesterfield,"318,775",5,1.57,2,0.63,0,0
Crater,"150,842",3,1.99,2,1.33,0,0
Hanover,"134,180",2,1.49,0,0,0,0
Henrico,"271,083",3,1.11,3,1.11,1,0.37
Piedmont,"98,172",1,1.02,0,0,1,1.02
Richmond City,"194,729",0,0,3,1.54,1,0.51
Southside,"87,382",0,0,0,0,2,2.29
Central Region,"1,255,163",14,1.12,10,0.8,5,0.4
Chesapeake,"210,834",4,1.9,0,0,0,0
Eastern Shore,"52,310",15,28.68,0,0,0,0
Hampton,"146,878",1,0.68,0,0,1,0.68
Norfolk,"241,727",1,0.41,2,0.83,0,0
Peninsula,"319,531",11,3.44,1,0.31,1,0.31
Portsmouth,"99,617",1,1,1,1,1,1
Three Rivers,"137,872",1,0.73,0,0,0,0
Virginia Beach,"439,467",0,0,4,0.91,2,0.46
Western Tidewater,"131,147",2,1.53,0,0,0,0
Eastern Region,"1,779,383",36,2.02,8,0.45,5,0.28
