,Population,Mumps Reported Cases,"Mumps Rate per 100,000",Pertussis Reported Cases,"Pertussis Rate per 100,000",Rabies in Animals Reported Cases,"Rabies in Animals Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",1,0.01,219,2.96,542,100
Alexandria,"128,923",0,0,1,0.78,12,2.21
Bristol,"17,206",0,0,0,0,0,0
Buena Vista,"6,320",0,0,0,0,0,0
Chesapeake,"210,834",0,0,5,2.37,1,0.18
Colonial Heights,"17,286",1,5.79,0,0,0,0
Danville,"46,988",0,0,1,2.13,0,0
Franklin City,"8,254",0,0,0,0,0,0
Fredericksburg,"20,189",0,0,3,14.86,0,0
Galax,"6,655",0,0,0,0,3,0.55
Hampton,"146,878",0,0,1,0.68,4,0.74
Hopewell,"22,391",0,0,0,0,0,0
Lynchburg,"65,113",0,0,0,0,3,0.55
Newport News,"181,647",0,0,4,2.2,11,2.03
Norfolk,"241,727",0,0,2,0.83,11,2.03
Petersburg,"33,091",0,0,0,0,4,0.74
Portsmouth,"99,617",0,0,1,1,0,0
Radford,"15,006",0,0,0,0,0,0
Richmond City,"194,729",0,0,3,1.54,1,0.18
Roanoke City,"92,863",0,0,0,0,1,0.18
Salem,"24,603",0,0,0,0,0,0
Suffolk,"73,515",0,0,0,0,5,0.92
Virginia Beach,"439,467",0,0,13,2.96,6,1.11
Waynesboro,"20,388",0,0,15,73.57,2,0.37
Williamsburg,"11,605",0,0,3,25.85,0,0
