,Population,AIDS Reported Cases,"AIDS Rate per 100,000",Amebiasis Reported Cases,"Amebiasis Rate per 100,000",Campylobacteriosis Reported Cases,"Campylobacteriosis Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",1586,21.47,40,0.54,1764,23.88
Central Shenandoah,"264,084",8,3.03,0,0,74,28.02
Lord Fairfax,"197,022",12,6.09,0,0,72,36.54
Rappahannock,"280,451",17,6.06,1,0.36,32,11.41
Rappahannock/Rapidan,"147,856",11,7.44,0,0,10,6.76
Thomas Jefferson,"209,662",15,7.15,1,0.48,18,8.59
Northwest Region,"1,099,075",63,5.73,2,0.18,206,18.74
Alexandria,"128,923",84,65.16,4,3.1,17,13.19
Arlington,"187,873",66,35.13,3,1.6,24,12.77
Fairfax,"1,032,921",105,10.17,9,0.87,98,9.49
Loudoun,"221,746",13,5.86,0,0,27,12.18
Prince William,"373,480",36,9.64,0,0,26,6.96
Northern Region,"1,944,943",304,15.63,16,0.82,192,9.87
Alleghany,"171,639",6,3.5,0,0,20,11.65
Central Virginia,"231,036",19,8.22,1,0.43,40,17.31
Cumberland Plateau,"114,940",1,0.87,0,0,25,21.75
Lenowisco,"92,451",3,3.24,0,0,12,12.98
Mount Rogers,"188,765",8,4.24,0,0,23,12.18
New River,"166,956",5,2.99,0,0,16,9.58
Pittsylvania/Danville,"108,628",9,8.29,0,0,14,12.89
Roanoke City,"92,863",17,18.31,0,0,3,3.23
West Piedmont,"140,488",3,2.14,0,0,7,4.98
Southwest Region,"1,307,766",71,5.43,1,0.08,160,12.23
Chesterfield,"318,775",26,8.16,0,0,42,13.18
Crater,"150,842",39,25.85,0,0,21,13.92
Hanover,"134,180",8,5.96,0,0,29,21.61
Henrico,"271,083",19,7.01,0,0,42,15.49
Piedmont,"98,172",9,9.17,0,0,13,13.24
Richmond City,"194,729",63,32.35,0,0,22,11.3
Southside,"87,382",15,17.17,0,0,8,9.16
Central Region,"1,255,163",179,14.26,0,0,177,14.1
Chesapeake,"210,834",18,8.54,0,0,15,7.11
Eastern Shore,"52,310",11,21.03,0,0,3,5.74
Hampton,"146,878",12,8.17,0,0,9,6.13
Norfolk,"241,727",55,22.75,0,0,30,12.41
Peninsula,"319,531",25,7.82,0,0,26,8.14
Portsmouth,"99,617",18,18.07,0,0,7,7.03
Three Rivers,"137,872",8,5.8,0,0,11,7.98
Virginia Beach,"439,467",23,5.23,1,0.23,39,8.87
Western Tidewater,"131,147",6,4.58,0,0,7,5.34
Eastern Region,"1,779,383",176,9.89,1,0.06,147,8.26
