,Population,Lead Elevated Blood Levels in Children Age 0-14 Years Reported Cases,"Lead Elevated Blood Levels in Children Age 0-14 Years Rate per 100,000",Legionellosis Reported Cases,"Legionellosis Rate per 100,000",Listeriosis Reported Cases,"Listeriosis Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",644,43.45,110,1.49,18,0.24
Accomack County,"39,025",9,117.13,2,5.12,1,2.56
"Albemarle Co., Charlottesville","126,832",3,13.4,8,6.31,0,0
"Alleghany, Clifton Forge, Covington","23,100",0,0,2,8.66,0,0
Amelia County,"11,742",1,42.88,0,0,0,0
Amherst County,"31,891",2,33.89,1,3.14,0,0
Appomattox County,"13,710",2,74.32,0,0,0,0
Arlington County,"187,873",8,29.06,3,1.6,3,1.6
"Augusta Co., Staunton","91,275",6,36.89,2,2.19,0,0
Bath County,"5,013",0,0,0,0,0,0
Bedford County and City,"69,000",0,0,0,0,1,1.45
Bland County,"6,965",0,0,0,0,0,0
Botetourt County,"31,448",0,0,0,0,0,0
Brunswick County,"18,199",3,100.2,0,0,0,0
Buchanan County,"25,598",2,47.74,1,3.91,0,0
Buckingham County,"15,839",4,149.2,1,6.31,0,0
Campbell County,"51,322",7,69.92,2,3.9,0,0
Caroline County,"23,190",8,179.53,1,4.31,0,0
Carroll County,"29,336",0,0,0,0,0,0
Charles City County,"7,118",0,0,0,0,0,0
Charlotte County,"12,452",1,40.77,0,0,0,0
Chesterfield County,"276,840",8,13.24,0,0,1,0.36
Clarke County,"13,364",0,0,0,0,0,0
Craig County,"5,159",0,0,0,0,0,0
Culpeper County,"38,555",1,13.29,0,0,0,0
Cumberland County,"9,189",1,56.98,0,0,0,0
Dickenson County,"16,119",0,0,0,0,1,6.2
Dinwiddie County,"24,853",1,21.19,1,4.02,0,0
Essex County,"10,260",2,107.07,0,0,0,0
Fairfax Co./City/Falls Church,"1,032,921",33,15.05,6,0.58,2,0.19
Fauquier County,"61,137",1,8.07,0,0,0,0
Floyd County,"14,350",0,0,0,0,0,0
Fluvanna County,"23,078",1,23.46,2,8.67,0,0
Franklin County,"49,095",3,34.32,0,0,1,2.04
"Frederick Co., Winchester","88,999",5,28.07,2,2.25,1,1.12
Giles County,"16,956",0,0,0,0,0,0
Gloucester County,"36,698",0,0,0,0,0,0
Goochland County,"18,138",0,0,0,0,0,0
Grayson County,"16,557",0,0,0,0,0,0
Greene County,"16,779",0,0,2,11.92,0,0
"Greensville Co., Emporia","17,237",3,104.38,0,0,0,0
Halifax County,"36,632",2,28.22,0,0,0,0
Hanover County,"94,081",3,15.43,1,1.06,0,0
Henrico County,"271,083",18,32.12,3,1.11,0,0
"Henry Co., Martinsville","72,211",6,45.82,0,0,0,0
Highland County,"2,504",0,0,0,0,0,0
Isle of Wight County,"31,925",0,0,0,0,0,0
James City County,"53,487",0,0,0,0,0,0
King and Queen County,"6,588",1,87.18,0,0,0,0
King George County,"18,213",1,25.22,1,5.49,0,0
King William County,"14,131",0,0,1,7.08,0,0
Lancaster County,"12,074",2,117.3,0,0,0,0
Lee County,"23,734",1,23.68,0,0,0,0
Loudoun County,"221,746",3,5.75,1,0.45,0,0
Louisa County,"28,031",1,19.07,2,7.13,0,0
Lunenburg County,"13,167",1,46.36,1,7.59,0,0
Madison County,"13,036",1,43.46,0,0,0,0
Mathews County,"9,216",0,0,0,0,0,0
Mecklenburg County,"32,551",5,89.62,0,0,0,0
Middlesex County,"10,211",2,131.49,0,0,0,0
Montgomery County,"85,614",3,25.71,0,0,0,0
Nelson County,"14,942",0,0,0,0,0,0
New Kent County,"14,843",1,35.91,0,0,0,0
Northampton County,"13,285",10,426.8,0,0,0,0
Northumberland County,"12,742",2,109.29,0,0,0,0
Nottoway County,"15,603",4,133.16,1,6.41,0,0
Orange County,"28,018",0,0,2,7.14,0,0
Page County,"23,589",0,0,2,8.48,0,0
Patrick County,"19,182",2,60.08,0,0,0,0
Pittsylvania County,"61,640",6,53.21,1,1.62,0,0
Powhatan County,"24,649",2,44.12,0,0,0,0
Prince Edward County,"20,180",7,217.39,0,0,0,0
Prince George County,"34,305",2,29.15,0,0,0,0
Pr. William Co./Manassas/M. Park,"373,480",5,5.47,5,1.34,0,0
Pulaski County,"35,030",5,84.53,1,2.85,1,2.85
Rappahannock County,"7,110",0,0,0,0,1,14.06
Richmond County,"9,006",3,247.93,0,0,0,0
Roanoke County,"87,329",0,0,1,1.15,0,0
"Rockbridge Co., Lexington","28,049",1,23.96,3,10.7,0,0
"Rockingham Co., Harrisonburg","110,535",8,42.41,5,4.52,0,0
Russell County,"28,861",3,59.62,0,0,0,0
Scott County,"23,005",4,106.35,1,4.35,0,0
Shenandoah County,"37,199",1,15.2,2,5.38,0,0
Smyth County,"32,700",4,69.72,0,0,1,3.06
Southampton County,"17,453",1,32.43,0,0,0,0
Spotsylvania County,"107,838",2,8.22,2,1.85,0,0
Stafford County,"111,021",0,0,1,0.9,0,0
Surry County,"7,009",1,72.41,0,0,0,0
Sussex County,"11,956",0,0,0,0,0,0
Tazewell County,"44,362",1,13.64,1,2.25,0,0
Warren County,"33,871",2,28.93,0,0,0,0
Washington County,"51,405",0,0,1,1.95,0,0
Westmoreland County,"16,946",1,33.47,0,0,0,0
"Wise Co., Norton","45,712",1,12.53,1,2.19,0,0
Wythe County,"27,941",3,62.51,0,0,0,0
"York Co., Poquoson","72,792",0,0,1,1.37,0,0
