Onset Date,Locality,Number of Cases,Etiologic Aagent,Mode of Transmission,Place Where Outbreak Occurred
1/6/2003,Lynchburg,26,Norovirus,Person to person,Alzheimer’s Center
1/12/2003,Roanoke City,48,Norovirus,Person to person,Assisted living
1/17/2003,Petersburg,52,Norovirus,Person to person,Convalescent Center
1/17/2003,Hanover County,114,Norovirus,Person to person,Convalescent Center
1/21/2003,Chesterfield County,43,Norovirus,Person to person,Convalescent Center
1/22/2003,Dinwiddie County,4,Norovirus,Person to person,Psychiatric Ward
1/22/2003,Henry County,243,Norovirus,Person to person,Rehab Center
2/1/2003,Norfolk,2,"Streptococcal Disease, Group A, invasive",Unknown,Assisted living
2/4/2003,Orange County,19,Norovirus,Person to person,Home for developmentally disabled adults
2/28/2003,Virginia Beach,80,Norovirus,Person to person,Rehab Center
2/28/2003,Henrico County,13,Norovirus,Unknown,Restaurant
3/9/2003,Prince William County,4,Methicillin Resistant Staphylococcus aureus,Person to person,Jail
3/14/2003,Shenandoah County,3,Histoplasma capsulatum,Contaminated soil,Renovation site
3/16/2003,Fairfax County,26,Norovirus,Person to person,Field trip
3/18/2003,Chesterfield County,32,"Rash, unknown agent",Unknown,Elementary school
3/19/2003,Accomack County,2,"Streptococcal Disease, Group A, invasive",Unknown,Assisted living
3/22/2003,Multi-county,6,Escherichia. coli O157:H7,Unknown,Regional
3/29/2003,Smyth County,12,Norovirus,Person to person,School
4/4/2003,Greene County,10,"Streptococcal Disease, Group A, invasive",Wound contamination,Dementia facility
5/3/2003,Henrico County,3,Methicillin Resistant Staphylococcus aureus,Person to person,Jail
5/8/2003,Multi-district,10,"Gastrointestinal illness, unknown agent",Unknown,Fishing trip to Guatemala
6/5/2003,Chesterfield County,14,Shigella species,Person to person,Daycare
6/14/2003,Hanover County,17,Shigella species,Person to person,Daycare
6/19/2003,Multi-state,87,Campylobacter species,Unknown,Bike tour
6/22/2003,Fairfax County,20,Norovirus,Unknown,Wedding reception
9/8/2003,Scott County,55,Shigella sonnei,Person to person,School
9/25/2003,Chesterfield County,12,Norovirus,Person to person,Daycare
10/26/2003,Newport News,867,Influenza A,Person to person,Military base
11/2/2003,Petersburg,318,Influenza A,Person to person,Military base
